order_id,order_date,ship_date,customer_id,location_id,ship_mode,order_priority
US-2014-168116,05-11-2014,05-11-2014,GT-14635,LOC-8A538C7B78,Same Day,High
ES-2014-2637201,14-01-2014,18-01-2014,PO-18865,LOC-446143CB8A,Standard Class,High
IN-2011-61302,10-01-2011,11-01-2011,DL-12865,LOC-BF749D2307,First Class,Medium
ID-2013-63976,22-08-2013,26-08-2013,JB-16000,LOC-D87C175350,Standard Class,High
IN-2014-37320,11-11-2014,15-11-2014,BF-11005,LOC-CC37554058,Standard Class,High
IN-2014-76016,26-09-2014,28-09-2014,VG-21805,LOC-EDB5174495,Second Class,Medium
ES-2012-5877219,13-12-2012,17-12-2012,GT-14710,LOC-0F87DD54AA,Standard Class,High
IT-2011-3183678,23-09-2011,25-09-2011,ZC-21910,LOC-AC6A742C24,First Class,Critical
CA-2011-116904,23-09-2011,28-09-2011,SC-20095,LOC-D4A79143C2,Standard Class,Medium
IT-2013-3085011,08-03-2013,08-03-2013,EB-13840,LOC-8C5865D028,Same Day,Critical
IN-2014-50473,28-08-2014,29-08-2014,AP-10915,LOC-EA4A3828C5,First Class,High
IN-2014-35983,01-05-2014,01-05-2014,SW-20275,LOC-769D39ED3E,Same Day,Critical
MX-2014-126984,18-12-2014,20-12-2014,JH-15820,LOC-623C1E8382,Second Class,High
US-2012-163825,16-06-2012,19-06-2012,LC-16885,LOC-5205C5827F,First Class,High
IR-2014-8540,18-09-2014,21-09-2014,TG-11640,LOC-C20C622563,First Class,Critical
US-2014-135013,25-07-2014,25-07-2014,HR-14830,LOC-59CEF70F84,Same Day,High
MZ-2013-3690,18-12-2013,18-12-2013,DG-3300,LOC-093D2C3652,Same Day,High
IN-2012-66342,30-05-2012,31-05-2012,SG-20470,LOC-520E9B1E2A,First Class,Critical
CA-2012-111829,19-03-2012,20-03-2012,FH-14365,LOC-9C55B9C6F9,First Class,High
IN-2012-48240,25-05-2012,28-05-2012,GP-14740,LOC-52A1A06BF9,Second Class,Critical
IN-2014-61792,05-08-2014,06-08-2014,MW-18220,LOC-820CA6C8C1,First Class,High
CA-2014-129021,24-08-2014,27-08-2014,PO-18850,LOC-43208D46B4,Second Class,Medium
IN-2014-75470,11-03-2014,13-03-2014,CS-12460,LOC-3C7C147FBA,Second Class,High
CA-2012-114811,08-11-2012,08-11-2012,KD-16495,LOC-309C6B70D3,Same Day,Medium
ES-2014-4673578,11-08-2014,16-08-2014,MS-17980,LOC-1171F43A27,Second Class,Medium
IT-2013-3376681,31-08-2013,03-09-2013,KC-16675,LOC-ACED05B08E,First Class,Critical
IN-2014-66615,18-01-2014,23-01-2014,DB-13405,LOC-0DDE448A23,Standard Class,High
CA-2013-143805,02-12-2013,04-12-2013,JD-15895,LOC-DB3B13FC81,Second Class,Critical
IT-2014-4540740,07-12-2014,08-12-2014,DK-13090,LOC-6289137341,First Class,High
IN-2014-11231,16-12-2014,19-12-2014,CS-11845,LOC-8D471028F0,First Class,Critical
MX-2014-154907,20-11-2014,20-11-2014,EM-14200,LOC-5A4117EC39,Same Day,Critical
UP-2011-8610,09-11-2011,11-11-2011,DW-3480,LOC-E2E1D46A12,First Class,Critical
IN-2013-40050,07-06-2013,09-06-2013,AS-10225,LOC-1142B96A0E,First Class,High
MX-2011-110275,22-11-2011,23-11-2011,ST-20530,LOC-F99695F02B,First Class,Medium
CG-2013-6110,29-03-2013,31-03-2013,BW-1065,LOC-88309E6C27,Second Class,High
IN-2014-30110,26-08-2014,27-08-2014,LA-16780,LOC-9DF26B0066,First Class,High
ES-2012-2058076,20-09-2012,22-09-2012,AB-10150,LOC-9A419DC158,Second Class,High
IN-2014-51950,16-05-2014,18-05-2014,JH-15820,LOC-562BA13087,Second Class,Critical
CA-2012-145352,16-03-2012,22-03-2012,CM-12385,LOC-1D9065DC34,Standard Class,Medium
ES-2013-4670866,24-11-2013,25-11-2013,BE-11410,LOC-C489579A55,First Class,Critical
IN-2011-62506,09-11-2011,11-11-2011,SZ-20035,LOC-590EEFC917,Second Class,Medium
IN-2011-46413,28-10-2011,28-10-2011,RM-19375,LOC-4F89BDC072,Same Day,Critical
ES-2014-3785216,19-11-2014,23-11-2014,HG-14845,LOC-A3095428A7,Standard Class,High
MO-2014-2000,28-10-2014,30-10-2014,DP-3105,LOC-DB92E1512C,Second Class,Medium
CA-2014-138289,17-01-2014,19-01-2014,AR-10540,LOC-4AB0836082,Second Class,High
CA-2014-118892,18-08-2014,23-08-2014,TP-21415,LOC-68E0BA3E08,Second Class,Medium
ES-2013-1434123,29-01-2013,05-02-2013,JB-16000,LOC-05D8DBE505,Standard Class,Low
ID-2012-78207,18-09-2012,21-09-2012,AM-10705,LOC-F36D34692B,Second Class,Critical
MO-2013-8630,23-11-2013,23-11-2013,AB-255,LOC-C1A4B929DF,Same Day,Medium
IN-2012-64774,13-06-2012,13-06-2012,RP-19270,LOC-EA95B970BB,Same Day,High
IN-2013-48765,28-10-2013,31-10-2013,BK-11260,LOC-90E8CF5128,First Class,Medium
IN-2013-69730,12-12-2013,14-12-2013,JM-15250,LOC-CFDEB3D33F,First Class,High
US-2013-102239,06-05-2013,07-05-2013,LW-16990,LOC-3968C47386,First Class,Critical
ES-2013-3467296,02-12-2013,02-12-2013,NZ-18565,LOC-54EFD84184,Same Day,Critical
CA-2014-6550,23-12-2014,25-12-2014,SV-10815,LOC-F1509614D7,Second Class,Critical
ID-2013-25742,28-01-2013,30-01-2013,SC-20695,LOC-37CD67756B,First Class,High
IN-2012-86698,07-05-2012,07-05-2012,NC-18625,LOC-371F0B203B,Same Day,High
ES-2013-2903666,27-11-2013,29-11-2013,NF-18385,LOC-7387664163,First Class,High
IN-2012-30446,28-11-2012,02-12-2012,NZ-18565,LOC-FEFF81FF36,Second Class,Medium
IT-2012-1779015,29-09-2012,29-09-2012,PM-18940,LOC-7660DB31D1,Same Day,Critical
ES-2013-3903130,03-09-2013,05-09-2013,MZ-17335,LOC-35A83372EC,Second Class,High
CG-2013-3470,26-07-2013,01-08-2013,HM-4980,LOC-EAC309FFF0,Standard Class,Low
IN-2014-13639,19-11-2014,25-11-2014,RW-19540,LOC-9ADEACCA9E,Standard Class,Low
ES-2012-2510515,19-06-2012,19-06-2012,LH-17155,LOC-E6ED79B81F,Same Day,High
MX-2012-153157,11-10-2012,14-10-2012,FH-14365,LOC-DFAEA70909,First Class,Medium
ES-2011-2585328,09-08-2011,11-08-2011,KM-16660,LOC-E7E300132C,First Class,Critical
ES-2011-4500805,05-11-2011,09-11-2011,PO-18865,LOC-6BEBEBAE15,Second Class,High
CA-2014-107174,07-11-2014,14-11-2014,AB-10060,LOC-F342F40495,Standard Class,Low
MX-2013-113824,26-04-2013,28-04-2013,AB-10060,LOC-180FBD6FEC,First Class,High
IN-2013-45076,26-12-2013,26-12-2013,DB-13060,LOC-4ECBEF8304,Same Day,High
IT-2013-5208514,13-03-2013,13-03-2013,VM-21685,LOC-B6C6839E92,Same Day,High
US-2013-107440,17-04-2013,21-04-2013,BS-11365,LOC-AE91AFD0EA,Standard Class,Medium
ES-2012-2314672,05-04-2012,05-04-2012,DM-13525,LOC-6469D8E19E,Same Day,High
ES-2012-4765389,26-12-2012,28-12-2012,NM-18520,LOC-309D8D6060,Second Class,Critical
IN-2013-15368,18-04-2013,19-04-2013,LC-16885,LOC-EA95B970BB,First Class,Critical
IN-2011-18385,24-05-2011,26-05-2011,RO-19780,LOC-A0FE0A5375,Second Class,High
CA-2012-149846,22-05-2012,26-05-2012,SB-20185,LOC-54A34E5DF3,Standard Class,High
ES-2013-2757712,16-05-2013,20-05-2013,EM-14065,LOC-2BB4FCD7ED,Second Class,High
CA-2011-106726,06-12-2011,08-12-2011,RS-19765,LOC-9E8AD9C84C,First Class,Critical
IT-2011-1978668,16-02-2011,19-02-2011,ON-18715,LOC-115EC9074B,Second Class,Medium
IN-2013-63773,31-05-2013,02-06-2013,VS-21820,LOC-87BF72E755,First Class,Critical
IN-2013-10965,01-10-2013,02-10-2013,CM-12115,LOC-C531D87E8D,First Class,High
CA-2011-145541,14-12-2011,21-12-2011,TB-21400,LOC-309C6B70D3,Standard Class,Medium
CA-2013-117121,18-12-2013,22-12-2013,AB-10105,LOC-C1A972BC0A,Standard Class,Medium
ID-2013-79432,11-12-2013,14-12-2013,JK-15325,LOC-C531D87E8D,Second Class,Critical
IT-2014-4499061,18-03-2014,21-03-2014,RP-19270,LOC-40638103E9,Second Class,Critical
IN-2014-34226,19-12-2014,20-12-2014,DW-13540,LOC-27E6DE400C,First Class,Critical
CA-2011-136567,20-12-2011,21-12-2011,PS-19045,LOC-759A12B1E7,First Class,High
CA-2013-143714,24-05-2013,28-05-2013,CC-12370,LOC-11876EEFCD,Standard Class,Medium
CA-2011-151330,14-10-2011,17-10-2011,TC-21295,LOC-F9F45745C4,First Class,Critical
MX-2014-158386,18-09-2014,18-09-2014,GM-14440,LOC-3E0414BB19,Same Day,Critical
IN-2013-30663,25-11-2013,27-11-2013,SV-20815,LOC-BE7C653832,First Class,Critical
IN-2013-77444,07-11-2013,10-11-2013,MM-17920,LOC-62EAF306C3,First Class,Critical
IN-2014-39077,19-07-2014,23-07-2014,JK-16120,LOC-9DF26B0066,Standard Class,High
ID-2012-60980,16-08-2012,16-08-2012,EM-14200,LOC-8DC93C1A9A,Same Day,High
CA-2013-128594,27-08-2013,30-08-2013,DJ-13510,LOC-F97DADE3B2,First Class,Critical
IN-2012-57025,11-01-2012,15-01-2012,PM-18940,LOC-BAB528DEF0,Standard Class,High
MX-2013-157868,28-01-2013,30-01-2013,AT-10435,LOC-596FBAA680,First Class,Medium
ID-2012-66111,14-06-2012,17-06-2012,AB-10015,LOC-C27C766E89,First Class,Critical
CA-2011-120474,01-12-2011,03-12-2011,RP-19390,LOC-9FBD607F6D,First Class,High
CA-2013-100300,25-06-2013,27-06-2013,MJ-17740,LOC-F97DADE3B2,Second Class,High
MX-2012-164791,06-12-2012,08-12-2012,PV-18985,LOC-B9BBC4C0BA,First Class,High
IT-2013-1350483,05-09-2013,07-09-2013,SB-20290,LOC-06996B7D80,Second Class,High
SO-2014-4990,18-09-2014,20-09-2014,SM-10005,LOC-4CB4DC83D4,First Class,High
CA-2014-149559,12-09-2014,13-09-2014,KF-16285,LOC-D765CA5691,Same Day,Critical
IN-2012-30943,03-08-2012,08-08-2012,KH-16330,LOC-3C0105F5A0,Standard Class,High
IN-2014-13324,09-12-2014,11-12-2014,MP-18175,LOC-9ADEACCA9E,First Class,High
IN-2012-46889,25-10-2012,28-10-2012,LH-17020,LOC-4E1F70BE88,First Class,Critical
CA-2012-114069,13-07-2012,15-07-2012,ND-18370,LOC-71FEFCBBEE,Second Class,Critical
ID-2013-35640,27-08-2013,29-08-2013,CR-12625,LOC-BF749D2307,Second Class,High
IN-2011-30292,13-05-2011,17-05-2011,NC-18625,LOC-3C7C147FBA,Standard Class,High
IT-2011-3675195,03-11-2011,06-11-2011,GM-14680,LOC-0DA27C1C5F,First Class,High
ES-2014-2034971,02-08-2014,03-08-2014,RA-19945,LOC-6DCCA243AB,First Class,Critical
ES-2011-1426891,20-09-2011,22-09-2011,DB-13060,LOC-668288F78D,Second Class,Critical
CA-2014-159366,08-01-2014,11-01-2014,BW-11110,LOC-C1A972BC0A,First Class,Medium
IN-2013-14773,11-03-2013,15-03-2013,RF-19735,LOC-9ADEACCA9E,Standard Class,High
ES-2012-4934238,02-02-2012,05-02-2012,JH-15820,LOC-EAA5E2B526,First Class,High
CA-2013-108987,09-09-2013,11-09-2013,AG-10675,LOC-A382675426,Second Class,Critical
MX-2014-111941,09-04-2014,13-04-2014,DM-12955,LOC-13FA1EDCB3,Standard Class,High
US-2013-143819,02-03-2013,06-03-2013,KD-16270,LOC-EBBA4FC84F,Standard Class,Medium
MX-2014-152961,19-03-2014,21-03-2014,BE-11335,LOC-BA228BDAE1,First Class,High
IN-2013-17041,02-10-2013,04-10-2013,SO-20335,LOC-C31F341122,First Class,High
ES-2013-4679331,12-01-2013,15-01-2013,DK-12835,LOC-C1A088285C,First Class,Medium
SA-2014-1270,20-08-2014,25-08-2014,LC-7050,LOC-E221086F37,Standard Class,Medium
IN-2014-12897,14-03-2014,18-03-2014,CG-12520,LOC-C531D87E8D,Standard Class,High
CA-2013-134887,26-03-2013,26-03-2013,TB-21280,LOC-75607A9A50,Same Day,Critical
ID-2014-10076,09-07-2014,13-07-2014,HG-15025,LOC-025D366977,Standard Class,High
ID-2013-70122,11-06-2013,15-06-2013,AD-10180,LOC-D7C6D25005,Standard Class,High
ES-2011-2257437,10-08-2011,17-08-2011,BP-11155,LOC-9A419DC158,Standard Class,Medium
ID-2014-63920,17-03-2014,21-03-2014,AA-10480,LOC-8DC93C1A9A,Standard Class,High
ID-2013-29564,02-01-2013,03-01-2013,RL-19615,LOC-371F0B203B,First Class,Medium
CA-2013-108196,26-11-2013,03-12-2013,CS-12505,LOC-778D237DCA,Standard Class,Low
ID-2012-36403,10-10-2012,11-10-2012,SW-20245,LOC-39E89EB8A0,First Class,High
CA-2014-127180,23-10-2014,25-10-2014,TA-21385,LOC-309C6B70D3,First Class,High
IN-2011-19351,17-06-2011,19-06-2011,BW-11110,LOC-6EFD222EF6,First Class,High
ES-2014-5842530,03-04-2014,05-04-2014,YC-21895,LOC-9A419DC158,First Class,High
MX-2011-137897,17-05-2011,20-05-2011,JM-15580,LOC-EC1BDE2DB0,Second Class,High
BO-2014-8960,11-02-2014,15-02-2014,MZ-7335,LOC-654E017020,Second Class,High
ES-2013-2220066,12-10-2013,12-10-2013,JF-15295,LOC-BF85EC930D,Same Day,Critical
CA-2011-127299,19-09-2011,24-09-2011,JL-15835,LOC-F561022A50,Standard Class,High
UP-2014-4500,17-07-2014,19-07-2014,DJ-3510,LOC-611E0D64C6,Second Class,Critical
ES-2014-2440513,22-11-2014,28-11-2014,MF-18250,LOC-F4CADA2C42,Standard Class,Low
IT-2011-5629016,30-05-2011,02-06-2011,TC-21295,LOC-E7FA6374D0,First Class,Critical
CA-2014-133263,01-04-2014,03-04-2014,JE-15610,LOC-1D9065DC34,Second Class,High
IN-2014-65488,17-07-2014,20-07-2014,CP-12340,LOC-B0040CC0F6,First Class,Medium
ES-2014-5530354,29-08-2014,03-09-2014,EH-14125,LOC-6F31AC7605,Standard Class,Medium
IN-2012-23782,26-12-2012,26-12-2012,NC-18340,LOC-562BA13087,Same Day,Critical
ID-2013-31720,01-05-2013,04-05-2013,JS-16030,LOC-025D366977,Second Class,Critical
ES-2011-1712442,16-08-2011,21-08-2011,AM-10360,LOC-EA5A917487,Standard Class,Medium
IN-2014-78900,03-12-2014,07-12-2014,JF-15190,LOC-834137B4E5,Standard Class,High
IN-2013-37803,25-06-2013,29-06-2013,AB-10015,LOC-CC5724CC62,Standard Class,High
ES-2013-3939561,21-01-2013,24-01-2013,JG-15160,LOC-446143CB8A,Second Class,Medium
CA-2013-138478,22-10-2013,27-10-2013,DP-13390,LOC-BDF7827F05,Second Class,Medium
IN-2014-56808,12-07-2014,14-07-2014,AG-10330,LOC-E89501A6A5,Second Class,Critical
US-2013-116729,26-12-2013,29-12-2013,GK-14620,LOC-C7CDAA6C06,First Class,Medium
ES-2014-1972860,01-09-2014,01-09-2014,NF-18475,LOC-AC9203973E,Same Day,Critical
CA-2011-119375,17-11-2011,22-11-2011,YC-21895,LOC-27847C18AD,Standard Class,High
IN-2011-64326,07-06-2011,11-06-2011,DR-12940,LOC-F1568B70F4,Second Class,Medium
ES-2011-3259196,13-10-2011,13-10-2011,NB-18655,LOC-EAA5E2B526,Same Day,Critical
IN-2013-48184,10-06-2013,10-06-2013,NM-18445,LOC-E4B13DF7DE,Same Day,Critical
IN-2014-77017,13-12-2014,17-12-2014,TA-21385,LOC-47C341ABEA,Standard Class,Medium
CA-2014-150091,13-10-2014,17-10-2014,NP-18670,LOC-AE91AFD0EA,Standard Class,High
ID-2014-31363,10-06-2014,11-06-2014,SC-20380,LOC-0498D95A95,First Class,High
SF-2011-6380,15-02-2011,16-02-2011,PA-9060,LOC-9A7F9DCD03,First Class,Critical
ES-2013-1692384,28-11-2013,04-12-2013,RB-19570,LOC-99DD3A544D,Standard Class,Low
CA-2014-165323,18-06-2014,22-06-2014,SR-20740,LOC-309C6B70D3,Standard Class,High
CA-2013-168354,20-09-2013,22-09-2013,RH-19510,LOC-2EA97FDD4C,First Class,High
US-2011-158554,09-08-2011,09-08-2011,LH-16750,LOC-CC56702B70,Same Day,High
CA-2011-141796,21-06-2011,21-06-2011,JG-15160,LOC-B0DB6174AD,Same Day,Critical
IN-2012-12162,02-08-2012,04-08-2012,KB-16585,LOC-1A71E9BDF2,First Class,High
CA-2012-113404,16-07-2012,16-07-2012,EM-13810,LOC-E18DB06109,Same Day,Critical
IR-2013-8520,02-08-2013,02-08-2013,MZ-7515,LOC-C6B0237B93,Same Day,Critical
IN-2014-68463,22-05-2014,25-05-2014,DM-13345,LOC-310D97EEB6,Second Class,Critical
ID-2011-64599,10-02-2011,15-02-2011,CA-11965,LOC-34D6BD9E5C,Standard Class,Medium
ES-2013-4632541,27-09-2013,27-09-2013,SC-20305,LOC-CDE078C6DE,Same Day,Critical
IN-2014-23761,02-06-2014,04-06-2014,MH-18115,LOC-83335CCF40,First Class,Critical
IN-2013-16964,30-09-2013,03-10-2013,KS-16300,LOC-C531D87E8D,First Class,Critical
IN-2011-76989,19-07-2011,20-07-2011,BG-11740,LOC-7448F6BAEB,First Class,High
RS-2014-4620,14-08-2014,16-08-2014,CR-2625,LOC-F73E8386B8,Second Class,Medium
CA-2013-147417,26-07-2013,28-07-2013,CB-12415,LOC-308D3CB87D,First Class,Critical
IN-2014-61393,31-10-2014,03-11-2014,DK-13090,LOC-0A15D8E8DA,First Class,High
IN-2013-13891,25-07-2013,30-07-2013,JL-15835,LOC-EC352998EE,Standard Class,Medium
IN-2014-32770,07-10-2014,11-10-2014,AP-10720,LOC-98649B1CEB,Standard Class,High
IN-2014-14780,17-10-2014,21-10-2014,CR-12820,LOC-77141C9204,Standard Class,High
IN-2013-71585,03-12-2013,06-12-2013,BF-11080,LOC-C531D87E8D,Second Class,Critical
IN-2014-20485,08-11-2014,10-11-2014,JM-15265,LOC-0498D95A95,First Class,High
IT-2011-4771701,21-09-2011,23-09-2011,TW-21025,LOC-D4B57041A6,Second Class,Critical
IT-2011-2876489,21-06-2011,24-06-2011,RB-19330,LOC-A44ABA1D5B,First Class,High
CA-2014-133865,09-05-2014,13-05-2014,PS-19045,LOC-2F3DBF3592,Standard Class,High
CA-2014-158379,23-09-2014,27-09-2014,JA-15970,LOC-68E0BA3E08,Second Class,Medium
SF-2014-2330,26-11-2014,29-11-2014,AB-60,LOC-93E32A265D,Second Class,Critical
EG-2012-4640,30-03-2012,01-04-2012,JR-5670,LOC-7AF3196D8D,First Class,Critical
MX-2011-138002,10-11-2011,15-11-2011,MD-17350,LOC-180FBD6FEC,Second Class,Medium
US-2014-102183,22-08-2014,29-08-2014,PK-19075,LOC-71FEFCBBEE,Standard Class,Medium
ES-2012-5113958,01-08-2012,06-08-2012,EB-13840,LOC-EE507C7137,Second Class,Medium
CA-2014-120376,23-12-2014,26-12-2014,TP-21130,LOC-1C1BE80258,First Class,High
CA-2014-168109,04-07-2014,04-07-2014,JK-15640,LOC-F342F40495,Same Day,High
CA-2014-111556,21-11-2014,23-11-2014,CD-11920,LOC-71FEFCBBEE,First Class,Critical
AJ-2013-2640,23-01-2013,27-01-2013,JL-5835,LOC-2B87FF663C,Standard Class,High
IN-2011-67651,21-05-2011,25-05-2011,EP-13915,LOC-D7C6D25005,Second Class,High
ES-2014-4957212,28-09-2014,01-10-2014,MS-17770,LOC-2F291A0ED6,First Class,High
IT-2011-3528798,06-11-2011,08-11-2011,CM-12655,LOC-A3E218BD6B,First Class,Critical
LH-2014-5390,28-01-2014,30-01-2014,JC-6105,LOC-665CA538AF,Second Class,High
IN-2014-32588,13-09-2014,19-09-2014,GB-14530,LOC-BF749D2307,Standard Class,Medium
CA-2012-137113,01-12-2012,05-12-2012,TW-21025,LOC-F342F40495,Second Class,High
US-2011-161760,22-12-2011,24-12-2011,JH-16180,LOC-CE70ACCBBC,First Class,High
EG-2013-4530,05-02-2013,07-02-2013,MT-8070,LOC-1EE16E46EB,Second Class,Critical
IN-2011-51964,28-12-2011,29-12-2011,AB-10105,LOC-32BB167F02,First Class,Critical
CA-2013-122903,28-05-2013,30-05-2013,LA-16780,LOC-C1A972BC0A,Second Class,High
LT-2011-270,27-04-2011,30-04-2011,CV-2805,LOC-830156A1E4,First Class,High
IN-2011-86278,06-10-2011,11-10-2011,NH-18610,LOC-F29935D9FE,Standard Class,High
ID-2013-17055,24-08-2013,26-08-2013,HJ-14875,LOC-C8167B229E,Second Class,Critical
MX-2013-151764,21-09-2013,24-09-2013,JL-15175,LOC-98217196A4,Second Class,Critical
MX-2014-124744,17-12-2014,19-12-2014,MY-18295,LOC-9A5B971FEB,First Class,Critical
US-2011-106992,19-09-2011,21-09-2011,SB-20290,LOC-A382675426,Second Class,Medium
CA-2011-117639,21-05-2011,25-05-2011,MW-18235,LOC-77AA25C322,Standard Class,High
MX-2014-140305,03-06-2014,07-06-2014,KC-16540,LOC-E93EBB587D,Standard Class,High
MX-2014-113845,12-09-2014,14-09-2014,CS-12460,LOC-E93EBB587D,First Class,Critical
IN-2014-61932,17-04-2014,17-04-2014,HA-14920,LOC-76642C1C18,Same Day,Critical
ES-2012-4589770,21-11-2012,24-11-2012,MT-17815,LOC-EA52E5DAC0,Second Class,Critical
ES-2014-1331794,06-03-2014,08-03-2014,FW-14395,LOC-2B6D7376D8,First Class,Critical
ES-2012-4621754,23-07-2012,28-07-2012,BH-11710,LOC-AC6A742C24,Standard Class,High
ID-2014-41191,07-11-2014,09-11-2014,DK-12895,LOC-56D3346765,First Class,High
MX-2014-128405,22-11-2014,24-11-2014,KD-16270,LOC-42F01DD15A,First Class,Critical
ES-2011-1858721,11-06-2011,14-06-2011,SC-20845,LOC-4CB920B769,First Class,High
MX-2012-168865,14-09-2012,19-09-2012,CY-12745,LOC-D067A2A85E,Standard Class,High
IN-2011-52279,25-11-2011,25-11-2011,HL-15040,LOC-3A0738DBD9,Same Day,Critical
IN-2012-14724,10-08-2012,12-08-2012,CT-11995,LOC-085E199B9D,First Class,High
ES-2013-3042991,20-03-2013,23-03-2013,CC-12370,LOC-35E3E2E2BC,Second Class,High
LT-2013-3900,30-12-2013,04-01-2014,GR-4560,LOC-830156A1E4,Standard Class,Medium
IN-2012-18518,04-10-2012,09-10-2012,TT-21070,LOC-BD88BCA3E5,Standard Class,High
IT-2012-4058325,06-08-2012,07-08-2012,PO-19195,LOC-91B1EE5F99,First Class,Critical
IN-2012-42220,02-10-2012,02-10-2012,ED-13885,LOC-61342CA94B,Same Day,High
IN-2014-17972,26-03-2014,29-03-2014,AP-10915,LOC-D7C6D25005,First Class,Critical
MX-2014-151554,21-11-2014,21-11-2014,TM-21490,LOC-CC7B7F36E6,Same Day,High
IT-2011-3270900,30-11-2011,01-12-2011,AW-10840,LOC-0DA27C1C5F,First Class,Critical
CA-2012-123113,23-11-2012,27-11-2012,AT-10735,LOC-F45B2E2644,Second Class,Medium
RO-2012-9480,06-12-2012,06-12-2012,SG-10605,LOC-7D2BC46E85,Same Day,High
MX-2013-109981,03-12-2013,04-12-2013,BM-11785,LOC-4875F75A72,First Class,High
MX-2012-130351,20-12-2012,24-12-2012,FH-14365,LOC-D067A2A85E,Standard Class,High
MX-2012-135076,13-09-2012,15-09-2012,DK-13375,LOC-BE5FFE21C1,Second Class,Medium
CA-2013-114972,04-11-2013,07-11-2013,PF-19225,LOC-2F3DBF3592,First Class,Critical
CA-2013-146633,16-11-2013,18-11-2013,TG-21310,LOC-C7CDAA6C06,Second Class,Critical
CA-2013-110499,08-04-2013,10-04-2013,YC-21895,LOC-3CBE928151,First Class,High
TU-2012-2690,23-05-2012,26-05-2012,SF-10200,LOC-8E3047DB11,First Class,High
CA-2014-166709,18-11-2014,23-11-2014,HL-15040,LOC-27847C18AD,Standard Class,Medium
