row_id,order_id,order_date,ship_date,customer_id,product_id,location_id,ship_mode,order_priority,sales,quantity,discount,profit,shipping_cost
28179,ID-2014-31237,29-12-2014,04-01-2015,EM-13960,FUR-CH-10004447,LOC-BF749D2307,Standard Class,Medium,1612.872,12,0.1,-143.568,49.62
50758,JO-2014-5980,29-12-2014,02-01-2015,PT-9090,OFF-HOO-10001105,LOC-654A4C54E2,Second Class,Medium,1054.02,2,0.0,337.26,48.89
17405,ES-2014-5861616,29-12-2014,03-01-2015,PG-18895,TEC-MA-10000461,LOC-F27139994F,Standard Class,Medium,524.178,2,0.15,-24.702,45.6
50754,JO-2014-5980,29-12-2014,02-01-2015,PT-9090,FUR-ELD-10001163,LOC-654A4C54E2,Second Class,Medium,918.96,8,0.0,128.64,45.6
9657,MX-2014-112179,29-12-2014,02-01-2015,AR-10570,OFF-ST-10002781,LOC-F3968ABBCC,Standard Class,Medium,429.6,5,0.0,163.2,41.97
12077,ES-2014-4107155,29-12-2014,31-12-2014,CD-11920,OFF-PA-10000034,LOC-23F5C0631B,Second Class,High,324.66,7,0.0,32.34,41.48
37446,CA-2014-101322,29-12-2014,01-01-2015,JG-15310,FUR-CH-10003968,LOC-D765CA5691,First Class,Medium,340.704,6,0.2,-34.0704,40.69
42527,EG-2014-8040,29-12-2014,02-01-2015,DM-3015,TEC-LOG-10002018,LOC-7AF3196D8D,Standard Class,Medium,607.14,6,0.0,12.06,38.61
50880,IZ-2014-6230,29-12-2014,02-01-2015,CS-2250,FUR-NOV-10000123,LOC-594A97C615,Standard Class,Medium,525.72,4,0.0,94.56,36.19
17257,ES-2014-2688044,29-12-2014,29-12-2014,AT-10735,OFF-ST-10004695,LOC-B113128B4B,Same Day,Medium,247.158,2,0.1,82.338,33.89
30210,ID-2014-48828,29-12-2014,02-01-2015,KB-16315,TEC-CO-10000778,LOC-B2DE1F5B50,Standard Class,Medium,474.4116,3,0.07,15.2316,32.31
22929,ID-2014-17517,29-12-2014,02-01-2015,KC-16675,FUR-CH-10001832,LOC-4ECBEF8304,Standard Class,Medium,354.861,3,0.1,-7.929,31.83
30209,ID-2014-48828,29-12-2014,02-01-2015,KB-16315,TEC-CO-10004143,LOC-B2DE1F5B50,Standard Class,Medium,584.6445,5,0.07,194.7945,29.71
49571,HU-2014-2510,29-12-2014,02-01-2015,FM-4290,FUR-SAF-10000213,LOC-C66D085E64,Standard Class,High,440.67,1,0.0,167.43,29.44
17260,ES-2014-2688044,29-12-2014,29-12-2014,AT-10735,OFF-AR-10001461,LOC-B113128B4B,Same Day,Medium,113.76,2,0.0,1.08,27.69
12078,ES-2014-4107155,29-12-2014,31-12-2014,CD-11920,OFF-ST-10000130,LOC-23F5C0631B,Second Class,High,169.344,4,0.1,54.504,22.87
7994,US-2014-147368,29-12-2014,04-01-2015,AC-10660,TEC-CO-10001468,LOC-6A9021FF33,Standard Class,Medium,380.54328,3,0.402,-52.23672,22.27
17403,ES-2014-5861616,29-12-2014,03-01-2015,PG-18895,FUR-FU-10001692,LOC-F27139994F,Standard Class,Medium,189.36,4,0.0,60.48,21.0
38117,CA-2014-163860,29-12-2014,02-01-2015,LO-17170,FUR-CH-10004698,LOC-E1C69FEC80,Standard Class,High,113.372,2,0.3,-3.2392,20.61
25794,IN-2014-77290,29-12-2014,31-12-2014,NR-18550,OFF-SU-10000375,LOC-C531D87E8D,Second Class,Medium,214.515,7,0.1,16.485,20.0
5284,MX-2014-150812,29-12-2014,03-01-2015,VG-21805,FUR-FU-10002004,LOC-46754303EA,Standard Class,High,117.74,7,0.0,22.26,18.03
30006,IN-2014-32385,29-12-2014,03-01-2015,GA-14725,OFF-PA-10000127,LOC-EA95B970BB,Second Class,High,114.156,7,0.1,34.146,17.06
44197,TU-2014-3610,29-12-2014,01-01-2015,JD-5895,OFF-SAN-10002484,LOC-C527FA626C,First Class,Critical,40.416,2,0.6,-31.344,15.77
13531,ES-2014-3881453,29-12-2014,02-01-2015,DM-13345,TEC-MA-10004896,LOC-57080B4D1C,Standard Class,High,131.274,2,0.1,45.174,15.3
27381,IN-2014-64501,29-12-2014,02-01-2015,TB-21250,OFF-AP-10002057,LOC-CB11DA9448,Standard Class,Medium,245.16,4,0.0,73.44,15.13
24849,IN-2014-62604,29-12-2014,03-01-2015,EH-13765,OFF-ST-10004346,LOC-C531D87E8D,Second Class,Medium,196.884,4,0.1,6.444,14.73
7990,US-2014-147368,29-12-2014,04-01-2015,AC-10660,OFF-ST-10003952,LOC-6A9021FF33,Standard Class,Medium,172.788,7,0.4,-57.652,13.96
22932,ID-2014-17517,29-12-2014,02-01-2015,KC-16675,FUR-CH-10003336,LOC-4ECBEF8304,Standard Class,Medium,112.158,2,0.1,7.458,13.93
21847,ID-2014-51642,29-12-2014,04-01-2015,AR-10570,OFF-AP-10003860,LOC-39E89EB8A0,Standard Class,Medium,161.0034,2,0.17,32.9634,13.87
17261,ES-2014-2688044,29-12-2014,29-12-2014,AT-10735,OFF-AR-10000467,LOC-B113128B4B,Same Day,Medium,98.04,4,0.0,39.12,13.67
50757,JO-2014-5980,29-12-2014,02-01-2015,PT-9090,FUR-SAF-10000949,LOC-654A4C54E2,Second Class,Medium,198.09,1,0.0,29.7,13.5
44195,TU-2014-3610,29-12-2014,01-01-2015,JD-5895,OFF-ROG-10003993,LOC-C527FA626C,First Class,Critical,56.652,1,0.6,-48.168,12.59
39394,CA-2014-122798,29-12-2014,02-01-2015,SV-20935,OFF-ST-10003058,LOC-C1F4F1C086,Standard Class,High,118.25,5,0.0,34.2925,11.34
50756,JO-2014-5980,29-12-2014,02-01-2015,PT-9090,OFF-AME-10000244,LOC-654A4C54E2,Second Class,Medium,108.36,4,0.0,43.32,11.03
22931,ID-2014-17517,29-12-2014,02-01-2015,KC-16675,TEC-AC-10002482,LOC-4ECBEF8304,Standard Class,Medium,121.905,5,0.1,-12.195,10.6
24847,IN-2014-62604,29-12-2014,03-01-2015,EH-13765,TEC-AC-10004566,LOC-C531D87E8D,Second Class,Medium,73.656,2,0.1,19.596,10.26
10526,ES-2014-1956763,29-12-2014,04-01-2015,EB-13840,OFF-EN-10003360,LOC-9A419DC158,Standard Class,Medium,148.284,4,0.1,23.004,10.23
50879,IZ-2014-6230,29-12-2014,02-01-2015,CS-2250,OFF-WIL-10002772,LOC-594A97C615,Standard Class,Medium,176.94,6,0.0,37.08,9.92
3900,MX-2014-143637,29-12-2014,03-01-2015,LC-16960,FUR-BO-10001585,LOC-CD2B214BD7,Standard Class,High,90.848,1,0.2,9.068,9.54
17517,IT-2014-5778325,29-12-2014,02-01-2015,JJ-15760,OFF-AR-10001720,LOC-440B26CFAA,Standard Class,High,74.205,3,0.5,-50.535,9.0
13530,ES-2014-3881453,29-12-2014,02-01-2015,DM-13345,OFF-ST-10002340,LOC-57080B4D1C,Standard Class,High,52.488,1,0.1,19.818,8.69
18917,IT-2014-2362249,29-12-2014,01-01-2015,MG-18205,OFF-AR-10002116,LOC-2544F9991C,First Class,High,31.08,4,0.5,-10.68,8.44
50883,IZ-2014-6230,29-12-2014,02-01-2015,CS-2250,OFF-ELD-10001037,LOC-594A97C615,Standard Class,Medium,188.16,4,0.0,73.32,8.17
31867,CA-2014-164826,29-12-2014,05-01-2015,JF-15415,OFF-LA-10001297,LOC-309C6B70D3,Standard Class,Low,72.45,7,0.0,34.776,7.8
49488,MO-2014-7020,29-12-2014,05-01-2015,AG-330,OFF-WIL-10004697,LOC-D3651B86E8,Standard Class,Medium,78.12,6,0.0,24.12,7.74
22830,IN-2014-47435,29-12-2014,02-01-2015,PF-19225,TEC-CO-10003448,LOC-6808E13528,Second Class,Medium,294.3,2,0.0,135.36,7.69
17262,ES-2014-2688044,29-12-2014,29-12-2014,AT-10735,OFF-BI-10002718,LOC-B113128B4B,Same Day,Medium,72.0,5,0.0,3.6,7.59
11031,ES-2014-5297510,29-12-2014,05-01-2015,BM-11785,OFF-ST-10000300,LOC-C5EFCA0D31,Standard Class,Low,64.2,4,0.0,6.36,7.41
24848,IN-2014-62604,29-12-2014,03-01-2015,EH-13765,OFF-EN-10003715,LOC-C531D87E8D,Second Class,Medium,95.364,4,0.1,2.004,7.39
17258,ES-2014-2688044,29-12-2014,29-12-2014,AT-10735,OFF-BI-10000482,LOC-B113128B4B,Same Day,Medium,91.44,3,0.0,8.19,6.62
35584,CA-2014-127516,29-12-2014,04-01-2015,EH-14005,OFF-ST-10000736,LOC-9AB2602FAF,Standard Class,Medium,64.784,1,0.2,-12.9568,6.57
17404,ES-2014-5861616,29-12-2014,03-01-2015,PG-18895,TEC-MA-10002413,LOC-F27139994F,Standard Class,Medium,147.849,1,0.15,8.679,6.49
7993,US-2014-147368,29-12-2014,04-01-2015,AC-10660,OFF-EN-10003859,LOC-6A9021FF33,Standard Class,Medium,99.96,5,0.4,-30.04,6.47
9656,MX-2014-112179,29-12-2014,02-01-2015,AR-10570,OFF-EN-10002490,LOC-F3968ABBCC,Standard Class,Medium,112.14,7,0.0,38.08,6.33
7152,MX-2014-133592,29-12-2014,04-01-2015,RB-19465,FUR-BO-10001779,LOC-55669B0A84,Standard Class,Medium,601.32,6,0.0,246.48,5.98
12082,ES-2014-4107155,29-12-2014,31-12-2014,CD-11920,OFF-BI-10001621,LOC-23F5C0631B,Second Class,High,99.54,2,0.0,27.84,5.96
7987,US-2014-147368,29-12-2014,04-01-2015,AC-10660,OFF-ST-10002598,LOC-6A9021FF33,Standard Class,Medium,88.224,4,0.4,-26.496,5.79
17518,IT-2014-5778325,29-12-2014,02-01-2015,JJ-15760,OFF-BI-10003397,LOC-440B26CFAA,Standard Class,High,55.74,4,0.5,-0.06,5.51
30564,IN-2014-85886,29-12-2014,02-01-2015,TT-21265,FUR-CH-10002989,LOC-A35CAEC03F,Standard Class,Medium,103.86,2,0.0,16.56,4.91
17259,ES-2014-2688044,29-12-2014,29-12-2014,AT-10735,OFF-AR-10001672,LOC-B113128B4B,Same Day,Medium,293.22,6,0.0,84.96,4.73
7989,US-2014-147368,29-12-2014,04-01-2015,AC-10660,OFF-EN-10004903,LOC-6A9021FF33,Standard Class,Medium,61.08,5,0.4,-30.62,4.61
22930,ID-2014-17517,29-12-2014,02-01-2015,KC-16675,OFF-PA-10004943,LOC-4ECBEF8304,Standard Class,Medium,53.46,3,0.1,19.53,4.5
3987,MX-2014-123302,29-12-2014,02-01-2015,DB-12910,FUR-FU-10000488,LOC-CC56702B70,Standard Class,High,34.92,6,0.5,-12.6,4.32
31869,CA-2014-164826,29-12-2014,05-01-2015,JF-15415,OFF-BI-10001922,LOC-309C6B70D3,Standard Class,Low,33.264,7,0.2,11.2266,4.3
17872,ES-2014-1158805,29-12-2014,01-01-2015,BP-11095,OFF-ST-10002151,LOC-8B1D578845,First Class,High,18.468,2,0.1,3.228,4.09
7150,MX-2014-133592,29-12-2014,04-01-2015,RB-19465,OFF-ST-10000836,LOC-55669B0A84,Standard Class,Medium,36.14,1,0.0,3.24,3.42
8927,MX-2014-101112,29-12-2014,31-12-2014,MG-18145,OFF-LA-10002972,LOC-AADABAB504,Second Class,Critical,11.92,2,0.0,4.16,3.39
11237,ES-2014-3625378,29-12-2014,03-01-2015,CS-12490,OFF-AR-10002433,LOC-F27139994F,Standard Class,Medium,30.96,3,0.0,13.59,3.04
346,MX-2014-122574,29-12-2014,01-01-2015,AG-10300,OFF-FA-10003499,LOC-BA228BDAE1,First Class,Medium,54.48,6,0.0,10.32,2.96
24850,IN-2014-62604,29-12-2014,03-01-2015,EH-13765,OFF-AR-10002392,LOC-C531D87E8D,Second Class,Medium,74.655,5,0.1,-3.345,2.92
44196,TU-2014-3610,29-12-2014,01-01-2015,JD-5895,OFF-AME-10001489,LOC-C527FA626C,First Class,Critical,9.876,1,0.6,-12.864,2.79
21846,ID-2014-51642,29-12-2014,04-01-2015,AR-10570,TEC-AC-10001835,LOC-39E89EB8A0,Standard Class,Medium,44.7426,2,0.47,-27.9174,2.36
7991,US-2014-147368,29-12-2014,04-01-2015,AC-10660,OFF-EN-10002855,LOC-6A9021FF33,Standard Class,Medium,39.456,2,0.4,3.256,2.34
22933,ID-2014-17517,29-12-2014,02-01-2015,KC-16675,OFF-BI-10002708,LOC-4ECBEF8304,Standard Class,Medium,26.298,2,0.1,3.798,2.17
7988,US-2014-147368,29-12-2014,04-01-2015,AC-10660,FUR-TA-10004504,LOC-6A9021FF33,Standard Class,Medium,172.212,2,0.7,-327.228,2.04
30206,ID-2014-48828,29-12-2014,02-01-2015,KB-16315,OFF-EN-10002007,LOC-B2DE1F5B50,Standard Class,Medium,33.231,5,0.47,-19.569,2.01
18918,IT-2014-2362249,29-12-2014,01-01-2015,MG-18205,OFF-AR-10000219,LOC-2544F9991C,First Class,High,7.875,1,0.5,-6.165,2.0
3986,MX-2014-123302,29-12-2014,02-01-2015,DB-12910,OFF-FA-10001761,LOC-CC56702B70,Standard Class,High,15.136,2,0.2,0.936,1.97
31870,CA-2014-164826,29-12-2014,05-01-2015,JF-15415,TEC-PH-10000347,LOC-309C6B70D3,Standard Class,Low,14.85,3,0.0,4.0095,1.92
38782,CA-2014-135111,29-12-2014,03-01-2015,CS-12400,OFF-BI-10004040,LOC-BB7F97826D,Standard Class,Medium,25.9,5,0.0,12.691,1.8
9655,MX-2014-112179,29-12-2014,02-01-2015,AR-10570,OFF-EN-10000084,LOC-F3968ABBCC,Standard Class,Medium,19.7,1,0.0,9.84,1.8
42526,EG-2014-8040,29-12-2014,02-01-2015,DM-3015,FUR-DEF-10000622,LOC-7AF3196D8D,Standard Class,Medium,18.99,1,0.0,6.81,1.76
30207,ID-2014-48828,29-12-2014,02-01-2015,KB-16315,OFF-EN-10002806,LOC-B2DE1F5B50,Standard Class,Medium,21.4014,2,0.47,-0.0186,1.75
27074,ID-2014-57032,29-12-2014,31-12-2014,TP-21130,OFF-EN-10000726,LOC-C4990CCFF0,Second Class,Medium,13.5468,3,0.47,-3.1032,1.59
32251,CA-2014-136539,29-12-2014,02-01-2015,GH-14665,FUR-BO-10004709,LOC-797FEF60E5,Standard Class,Medium,78.8528,2,0.32,-11.596,1.55
50882,IZ-2014-6230,29-12-2014,02-01-2015,CS-2250,OFF-GLO-10003463,LOC-594A97C615,Standard Class,Medium,23.79,1,0.0,2.85,1.55
5275,MX-2014-101168,29-12-2014,02-01-2015,KM-16375,OFF-ST-10002466,LOC-D313F1FE57,Standard Class,Medium,14.36,2,0.0,5.72,1.46
7151,MX-2014-133592,29-12-2014,04-01-2015,RB-19465,OFF-AR-10004360,LOC-55669B0A84,Standard Class,Medium,20.64,2,0.0,7.84,1.43
7992,US-2014-147368,29-12-2014,04-01-2015,AC-10660,OFF-ST-10002902,LOC-6A9021FF33,Standard Class,Medium,247.68,3,0.4,16.5,1.33
32250,CA-2014-136539,29-12-2014,02-01-2015,GH-14665,OFF-AR-10001958,LOC-797FEF60E5,Standard Class,Medium,27.168,2,0.2,2.7168,1.33
9658,MX-2014-112179,29-12-2014,02-01-2015,AR-10570,OFF-LA-10000738,LOC-F3968ABBCC,Standard Class,Medium,14.04,3,0.0,6.42,1.21
31868,CA-2014-164826,29-12-2014,05-01-2015,JF-15415,OFF-FA-10000585,LOC-309C6B70D3,Standard Class,Low,13.96,4,0.0,6.4216,1.11
50881,IZ-2014-6230,29-12-2014,02-01-2015,CS-2250,OFF-TEN-10003127,LOC-594A97C615,Standard Class,Medium,16.98,1,0.0,7.98,1.01
43974,CM-2014-6760,29-12-2014,02-01-2015,AS-225,OFF-ACC-10004871,LOC-426B034906,Standard Class,High,13.32,1,0.0,5.46,0.98
30208,ID-2014-48828,29-12-2014,02-01-2015,KB-16315,OFF-SU-10001382,LOC-B2DE1F5B50,Standard Class,Medium,21.8784,1,0.47,-8.6916,0.96
42528,EG-2014-8040,29-12-2014,02-01-2015,DM-3015,OFF-STO-10002042,LOC-7AF3196D8D,Standard Class,Medium,10.53,1,0.0,2.82,0.96
38116,CA-2014-163860,29-12-2014,02-01-2015,LO-17170,FUR-FU-10004586,LOC-E1C69FEC80,Standard Class,High,7.968,3,0.6,-2.3904,0.87
46511,TU-2014-1970,29-12-2014,04-01-2015,AA-315,OFF-CAR-10004661,LOC-CDE89898E3,Standard Class,Medium,20.052,1,0.6,-19.578,0.72
33728,CA-2014-129805,29-12-2014,03-01-2015,HM-14860,FUR-FU-10001935,LOC-914B52C30A,Standard Class,Medium,7.4,2,0.0,3.034,0.64
39395,CA-2014-122798,29-12-2014,02-01-2015,SV-20935,OFF-PA-10004239,LOC-C1F4F1C086,Standard Class,High,4.28,1,0.0,1.926,0.54
38118,CA-2014-163860,29-12-2014,02-01-2015,LO-17170,FUR-FU-10001935,LOC-E1C69FEC80,Standard Class,High,2.96,2,0.6,-1.406,0.35
38115,CA-2014-163860,29-12-2014,02-01-2015,LO-17170,OFF-BI-10003784,LOC-E1C69FEC80,Standard Class,High,1.68,5,0.8,-2.688,0.29
37386,US-2014-162068,29-12-2014,01-01-2015,PC-18745,OFF-BI-10002813,LOC-C60DC6CCB9,Second Class,High,1.188,2,0.7,-0.99,0.22
38781,CA-2014-135111,29-12-2014,03-01-2015,CS-12400,OFF-AR-10004707,LOC-BB7F97826D,Standard Class,Medium,2.48,1,0.0,0.868,0.15
15865,ES-2014-5366847,28-12-2014,31-12-2014,ZC-21910,OFF-PA-10000908,LOC-0CD6039DD8,First Class,Medium,237.33,9,0.0,47.25,40.28
19920,ES-2014-2434348,28-12-2014,04-01-2015,BE-11455,OFF-AP-10002531,LOC-092BFD5C0B,Standard Class,Medium,440.64,5,0.1,-44.16,28.85
19919,ES-2014-2434348,28-12-2014,04-01-2015,BE-11455,OFF-BI-10000538,LOC-092BFD5C0B,Standard Class,Medium,202.2,4,0.0,22.2,21.9
